timestamp_string;timestamp_string_date;timestamp_string_time;wind_speed_knots;wind_direction_deg;barometric_pressure_ssl_hPa;rain_today_mm;rain_rate_mmh;temperature_cels;rel_humidity;uv_index;heat_index_cels;wind_gust_knots;dew_point_cels;wind_chill_cels;ground_temperature_cels;solar_irradiance_wpsm;rel_leaf_wetness;soil_moisture_cb;rain_this_month_mm;rain_this_year_mm;evapotranspiration_today_mm;evapotranspiration_this_month_mm;evapotranspiration_this_year_mm;perceived_temperature_cels;humidex_cels;wind_temperature_cels;current_weather;wet_bulb_temperature_cels;absolute_humidity_gm3;saturated_vapor_pressure_hPa;windrun_km;barometric_pressure_wsl_hPa;average_wind_speed_knots;storm_rain_mmm, rain_in_last_storm_event_mm;cloud_height_m;air_density_kgm3;rel_equilibrium_moisture_content;wind_force_beaufort_desc;moon_phase_desc;sunrise_timestamp;sunset_timestamp
03/02/2021 17:20:00;03/02/2021;17:20:00;0.0;180;1013.8;0.0;0.0;3.2;0.88;;;0.0;1.4;;;;;;0.0;165.2;;;;1.9;1.4;3.2;Night time/Nessun fenomeno;2.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:25:00;03/02/2021;17:25:00;0.0;180;1013.8;0.0;0.0;3.1;0.88;;;0.0;1.3;;;;;;0.0;165.2;;;;1.9;1.3;3.1;Night time/Nessun fenomeno;2.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:30:00;03/02/2021;17:30:00;0.0;180;1013.9;0.0;0.0;3.1;0.88;;;0.0;1.3;;;;;;0.0;165.2;;;;1.8;1.2;3.1;Night time/Nessun fenomeno;2.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:35:00;03/02/2021;17:35:00;0.0;180;1013.8;0.0;0.0;3.1;0.88;;;0.8639308855291576;1.3;;;;;;0.0;165.2;;;;1.8;1.2;3.1;Night time/Nessun fenomeno;2.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:40:00;03/02/2021;17:40:00;0.0;180;1013.9;0.0;0.0;3.0;0.88;;;0.8639308855291576;1.2;;;;;;0.0;165.2;;;;1.8;1.1;3.0;Night time/Nessun fenomeno;2.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:45:00;03/02/2021;17:45:00;0.0;180;1013.9;0.0;0.0;3.0;0.88;;;0.8639308855291576;1.2;;;;;;0.0;165.2;;;;1.8;1.1;3.0;Night time/Nessun fenomeno;2.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 17:55:00;03/02/2021;17:55:00;0.0;180;1014.0;0.0;0.0;2.8;0.88;;;0.8639308855291576;1.0;;;;;;0.0;165.2;;;;1.6;0.9;2.8;Night time/Nessun fenomeno;2.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:00:00;03/02/2021;18:00:00;0.0;180;1013.9;0.0;0.0;2.7;0.88;;;0.8639308855291576;0.9;;;;;;0.0;165.2;;;;1.4;0.7;2.7;Night time/Nessun fenomeno;2.0;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:05:00;03/02/2021;18:05:00;0.0;180;1014.0;0.0;0.0;2.6;0.88;;;0.8639308855291576;0.8;;;;;;0.0;165.2;;;;1.3;0.7;2.6;Night time/Nessun fenomeno;1.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:10:00;03/02/2021;18:10:00;0.0;180;1013.8;0.0;0.0;2.6;0.88;;;0.8639308855291576;0.8;;;;;;0.0;165.2;;;;1.3;0.7;2.6;Night time/Nessun fenomeno;1.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:15:00;03/02/2021;18:15:00;0.0;180;1014.0;0.0;0.0;2.5;0.88;;;0.8639308855291576;0.7;;;;;;0.0;165.2;;;;1.2;0.5;2.5;Night time/Nessun fenomeno;1.8;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:20:00;03/02/2021;18:20:00;0.0;180;1014.0;0.0;0.0;2.5;0.88;;;0.8639308855291576;0.7;;;;;;0.0;165.2;;;;1.2;0.5;2.5;Night time/Nessun fenomeno;1.8;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:25:00;03/02/2021;18:25:00;0.0;180;1014.0;0.0;0.0;2.6;0.88;;;0.8639308855291576;0.8;;;;;;0.0;165.2;;;;1.2;0.6;2.6;Night time/Nessun fenomeno;1.9;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:30:00;03/02/2021;18:30:00;0.0;180;1013.9;0.0;0.0;2.5;0.88;;;0.8639308855291576;0.7;;;;;;0.0;165.2;;;;1.2;0.5;2.5;Night time/Nessun fenomeno;1.8;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:35:00;03/02/2021;18:35:00;0.0;180;1013.9;0.0;0.0;2.4;0.88;;;0.0;0.6;;;;;;0.0;165.2;;;;1.1;0.4;2.4;Night time/Nessun fenomeno;1.7;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:40:00;03/02/2021;18:40:00;0.0;180;1013.9;0.0;0.0;2.3;0.88;;;0.0;0.5;;;;;;0.0;165.2;;;;1.0;0.3;2.3;Night time/Nessun fenomeno;1.7;;;;;0.0;0.0;;;;;;;;
03/02/2021 18:45:00;03/02/2021;18:45:00;0.1079913606911447;180;1014.0;0.0;0.0;2.4;0.88;;;0.8639308855291576;0.7;;;;;;0.0;165.2;;;;1.0;0.4;2.4;Night time/Nessun fenomeno;1.8;;;;;0.2;0.0;;;;;;;;
03/02/2021 18:55:00;03/02/2021;18:55:00;0.0;180;1013.9;0.0;0.0;2.3;0.88;;;0.8639308855291576;0.5;;;;;;0.0;165.2;;;;1.0;0.3;2.3;Night time/Nessun fenomeno;1.7;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:00:00;03/02/2021;19:00:00;0.0;180;1014.0;0.0;0.0;2.3;0.88;;;0.8639308855291576;0.5;;;;;;0.0;165.2;;;;1.0;0.3;2.3;Night time/Nessun fenomeno;1.7;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:05:00;03/02/2021;19:05:00;0.0;180;1014.0;0.0;0.0;2.2;0.88;;;0.8639308855291576;0.4;;;;;;0.0;165.2;;;;0.9;0.2;2.2;Night time/Nessun fenomeno;1.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:10:00;03/02/2021;19:10:00;0.0;180;1014.0;0.0;0.0;2.2;0.88;;;0.8639308855291576;0.4;;;;;;0.0;165.2;;;;0.8;0.1;2.2;Night time/Nessun fenomeno;1.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:15:00;03/02/2021;19:15:00;0.0;180;1014.0;0.0;0.0;2.1;0.88;;;0.8639308855291576;0.3;;;;;;0.0;165.2;;;;0.7;0.0;2.1;Night time/Nessun fenomeno;1.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:20:00;03/02/2021;19:20:00;0.0;180;1014.0;0.0;0.0;2.2;0.88;;;0.8639308855291576;0.4;;;;;;0.0;165.2;;;;0.9;0.2;2.2;Night time/Nessun fenomeno;1.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:25:00;03/02/2021;19:25:00;0.0;180;1014.1;0.0;0.0;2.3;0.88;;;0.8639308855291576;0.5;;;;;;0.0;165.2;;;;0.9;0.2;2.3;Night time/Nessun fenomeno;1.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:35:00;03/02/2021;19:35:00;0.0;180;1014.1;0.0;0.0;2.3;0.88;;;0.8639308855291576;0.5;;;;;;0.0;165.2;;;;1.0;0.3;2.3;Night time/Nessun fenomeno;1.7;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:40:00;03/02/2021;19:40:00;0.0;180;1014.1;0.0;0.0;2.3;0.88;;;0.8639308855291576;0.5;;;;;;0.0;165.2;;;;0.9;0.2;2.3;Night time/Nessun fenomeno;1.6;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:45:00;03/02/2021;19:45:00;0.0;180;1014.2;0.0;0.0;2.1;0.88;;;0.8639308855291576;0.3;;;;;;0.0;165.2;;;;0.7;0.0;2.1;Night time/Nessun fenomeno;1.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:50:00;03/02/2021;19:50:00;0.0;180;1014.3;0.0;0.0;2.1;0.88;;;0.0;0.3;;;;;;0.0;165.2;;;;0.7;0.0;2.1;Night time/Nessun fenomeno;1.5;;;;;0.0;0.0;;;;;;;;
03/02/2021 19:55:00;03/02/2021;19:55:00;0.0;180;1014.3;0.0;0.0;2.1;0.88;;;0.0;0.3;;;;;;0.0;165.2;;;;0.7;-0.0;2.1;Night time/Nessun fenomeno;1.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:00:00;03/02/2021;20:00:00;0.0;180;1014.2;0.0;0.0;2.1;0.88;;;0.0;0.3;;;;;;0.0;165.2;;;;0.7;-0.0;2.1;Night time/Nessun fenomeno;1.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:05:00;03/02/2021;20:05:00;0.0;180;1014.1;0.0;0.0;2.0;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.1;2.0;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:10:00;03/02/2021;20:10:00;0.0;180;1014.1;0.0;0.0;2.0;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.1;2.0;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:15:00;03/02/2021;20:15:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:20:00;03/02/2021;20:20:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:25:00;03/02/2021;20:25:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.0;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:30:00;03/02/2021;20:30:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.0;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:35:00;03/02/2021;20:35:00;0.0;180;1014.1;0.0;0.0;1.8;0.88;;;0.0;0.1;;;;;;0.0;165.2;;;;0.4;-0.3;1.8;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:40:00;03/02/2021;20:40:00;0.0;180;1014.1;0.0;0.0;1.7;0.88;;;0.0;-0.1;;;;;;0.0;165.2;;;;0.3;-0.5;1.7;Night time/Nessun fenomeno;1.1;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:45:00;03/02/2021;20:45:00;0.0;180;1014.1;0.0;0.0;1.7;0.88;;;0.0;-0.1;;;;;;0.0;165.2;;;;0.2;-0.5;1.7;Night time/Nessun fenomeno;1.0;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:50:00;03/02/2021;20:50:00;0.0;180;1014.0;0.0;0.0;1.8;0.88;;;0.0;0.0;;;;;;0.0;165.2;;;;0.4;-0.4;1.8;Night time/Nessun fenomeno;1.1;;;;;0.0;0.0;;;;;;;;
03/02/2021 20:55:00;03/02/2021;20:55:00;0.1079913606911447;180;1014.1;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.1;;;;;;0.0;165.2;;;;0.3;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.2;0.0;;;;;;;;
03/02/2021 21:00:00;03/02/2021;21:00:00;0.16198704103671704;180;1014.0;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.3;0.0;;;;;;;;
03/02/2021 21:05:00;03/02/2021;21:05:00;0.05399568034557235;180;1014.1;0.0;0.0;2.0;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.1;2.0;Night time/Nessun fenomeno;1.3;;;;;0.1;0.0;;;;;;;;
03/02/2021 21:10:00;03/02/2021;21:10:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:15:00;03/02/2021;21:15:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:20:00;03/02/2021;21:20:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:25:00;03/02/2021;21:25:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:35:00;03/02/2021;21:35:00;0.0;180;1014.2;0.0;0.0;2.0;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.1;2.0;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:40:00;03/02/2021;21:40:00;0.0;180;1014.2;0.0;0.0;2.1;0.88;;;0.8639308855291576;0.3;;;;;;0.0;165.2;;;;0.7;-0.0;2.1;Night time/Nessun fenomeno;1.4;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:45:00;03/02/2021;21:45:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:50:00;03/02/2021;21:50:00;0.0;180;1014.3;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 21:55:00;03/02/2021;21:55:00;0.0;180;1014.3;0.0;0.0;1.9;0.88;;;0.8639308855291576;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:00:00;03/02/2021;22:00:00;0.0;180;1014.3;0.0;0.0;1.9;0.88;;;0.1079913606911447;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:05:00;03/02/2021;22:05:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:10:00;03/02/2021;22:10:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:15:00;03/02/2021;22:15:00;0.0;180;1014.1;0.0;0.0;1.9;0.88;;;0.0;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:20:00;03/02/2021;22:20:00;0.0;180;1014.2;0.0;0.0;1.9;0.88;;;0.0;0.2;;;;;;0.0;165.2;;;;0.6;-0.2;1.9;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:25:00;03/02/2021;22:25:00;0.2159827213822894;180;1014.3;0.0;0.0;1.9;0.88;;;1.7278617710583153;0.1;;;;;;0.0;165.2;;;;0.2;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.4;0.0;;;;;;;;
03/02/2021 22:30:00;03/02/2021;22:30:00;0.26997840172786175;180;1014.2;0.0;0.0;1.8;0.88;;;1.7278617710583153;0.1;;;;;;0.0;165.2;;;;0.4;-0.3;1.8;Night time/Nessun fenomeno;1.2;;;;;0.5;0.0;;;;;;;;
03/02/2021 22:35:00;03/02/2021;22:35:00;0.05399568034557235;180;1014.3;0.0;0.0;1.8;0.88;;;1.7278617710583153;0.0;;;;;;0.0;165.2;;;;0.4;-0.4;1.8;Night time/Nessun fenomeno;1.1;;;;;0.1;0.0;;;;;;;;
03/02/2021 22:45:00;03/02/2021;22:45:00;0.0;180;1014.4;0.0;0.0;2.0;0.88;;;1.7278617710583153;0.2;;;;;;0.0;165.2;;;;0.6;-0.1;2.0;Night time/Nessun fenomeno;1.3;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:50:00;03/02/2021;22:50:00;0.0;180;1014.3;0.0;0.0;1.9;0.88;;;1.7278617710583153;0.1;;;;;;0.0;165.2;;;;0.5;-0.2;1.9;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 22:55:00;03/02/2021;22:55:00;0.0;180;1014.2;0.0;0.0;1.8;0.88;;;1.7278617710583153;0.1;;;;;;0.0;165.2;;;;0.4;-0.3;1.8;Night time/Nessun fenomeno;1.2;;;;;0.0;0.0;;;;;;;;
03/02/2021 23:00:00;03/02/2021;23:00:00;0.0;180;1014.3;0.0;0.0;1.8;0.88;;;1.7278617710583153;0.0;;;;;;0.0;165.2;;;;0.4;-0.4;1.8;Night time/Nessun fenomeno;1.1;;;;;0.0;0.0;;;;;;;;
03/02/2021 23:05:00;03/02/2021;23:05:00;0.0;180;1014.4;0.0;0.0;1.7;0.88;;;1.7278617710583153;-0.1;;;;;;0.0;165.2;;;;0.3;-0.5;1.7;Night time/Nessun fenomeno;1.1;;;;;0.0;0.0;;;;;;;;
03/02/2021 23:10:00;03/02/2021;23:10:00;0.0;180;1014.3;0.0;0.0;1.7;0.88;;;1.7278617710583153;-0.1;;;;;;0.0;165.2;;;;0.2;-0.5;1.7;Night time/Nessun fenomeno;1.0;;;;;0.0;0.0;;;;;;;;
03/02/2021 23:15:00;03/02/2021;23:15:00;0.0;180;1014.3;0.0;0.0;1.7;0.88;;;1.7278617710583153;-0.1;;;;;;0.0;165.2;;;;0.3;-0.5;1.7;Night time/Nessun fenomeno;1.1;;;;;0.0;0.0;;;;;;;;
